Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,315.868876,-37.597624,0.0,bottom
C1,279.945468,-49.4046,90.0,bottom
C10,309.6181,-75.113737,135.0,bottom
C11,322.119652,-57.540576,90.0,bottom
C12,306.046228,-75.262565,45.0,bottom
C13,306.64154,-71.095381,315.0,bottom
C14,303.962636,-56.201124,90.0,bottom
C15,307.38568,-56.201124,90.0,bottom
C16,308.427476,-56.201124,90.0,bottom
C2,285.154448,-49.4046,90.0,bottom
C3,305.004432,-56.201124,90.0,bottom
C4,305.599744,-70.190956,315.0,bottom
C5,302.1767,-55.605812,270.0,bottom
C6,302.772012,-58.582372,0.0,bottom
C7,312.59466,-60.070652,180.0,bottom
C8,313.636456,-67.809708,270.0,bottom
C9,300.837248,-62.749556,45.0,bottom
D1,28.575,-26.19375,90.0,bottom
D10,200.025,-26.19375,90.0,bottom
D11,219.075,-26.19375,90.0,bottom
D12,238.125,-26.19375,90.0,bottom
D13,257.175,-26.19375,90.0,bottom
D14,276.225,-26.19375,90.0,bottom
D15,295.275,-26.19375,90.0,bottom
D16,319.0875,-26.19375,90.0,bottom
D17,28.575,-45.24375,90.0,bottom
D18,47.625,-45.24375,90.0,bottom
D19,66.675,-45.24375,90.0,bottom
D2,47.625,-26.19375,90.0,bottom
D20,85.725,-45.24375,90.0,bottom
D21,104.775,-45.24375,90.0,bottom
D22,123.825,-45.24375,90.0,bottom
D23,142.875,-45.24375,90.0,bottom
D24,161.925,-45.24375,90.0,bottom
D25,180.975,-45.24375,90.0,bottom
D26,200.025,-45.24375,90.0,bottom
D27,219.075,-45.24375,90.0,bottom
D28,238.125,-45.24375,90.0,bottom
D29,257.175,-45.24375,90.0,bottom
D3,66.675,-26.19375,90.0,bottom
D30,276.225,-45.24375,90.0,bottom
D31,295.275,-45.24375,90.0,bottom
D32,319.0875,-50.00625,90.0,bottom
D33,28.575,-64.29375,90.0,bottom
D34,47.625,-64.29375,90.0,bottom
D35,66.675,-64.29375,90.0,bottom
D36,85.725,-64.29375,90.0,bottom
D37,104.775,-64.29375,90.0,bottom
D38,123.825,-64.29375,90.0,bottom
D39,142.875,-64.29375,90.0,bottom
D4,85.725,-26.19375,90.0,bottom
D40,161.925,-64.29375,90.0,bottom
D41,180.975,-64.29375,90.0,bottom
D42,200.025,-64.29375,90.0,bottom
D43,219.075,-64.29375,90.0,bottom
D44,238.125,-64.29375,90.0,bottom
D45,257.175,-64.29375,90.0,bottom
D46,276.225,-64.29375,90.0,bottom
D47,295.275,-64.29375,90.0,bottom
D48,28.575,-83.34375,90.0,bottom
D49,47.625,-83.34375,90.0,bottom
D5,104.775,-26.19375,90.0,bottom
D50,66.675,-83.34375,90.0,bottom
D51,85.725,-83.34375,90.0,bottom
D52,99.21875,-86.121875,180.0,bottom
D54,123.825,-83.34375,90.0,bottom
D55,142.875,-83.34375,90.0,bottom
D56,161.925,-83.34375,90.0,bottom
D57,180.975,-83.34375,90.0,bottom
D58,200.025,-83.34375,90.0,bottom
D59,213.51875,-86.121875,180.0,bottom
D6,123.825,-26.19375,90.0,bottom
D61,238.125,-83.34375,90.0,bottom
D62,257.175,-83.34375,90.0,bottom
D63,276.225,-83.34375,90.0,bottom
D64,295.275,-83.34375,90.0,bottom
D65,314.325,-83.34375,90.0,bottom
D7,142.875,-26.19375,90.0,bottom
D8,161.925,-26.19375,90.0,bottom
D9,180.975,-26.19375,90.0,bottom
J1,42.862464,-31.402708,180.0,bottom
J3,301.659432,-89.892112,270.0,bottom
MX1,25.4,-25.4,0.0,bottom
MX10,196.85,-25.4,0.0,bottom
MX11,215.9,-25.4,0.0,bottom
MX12,234.95,-25.4,0.0,bottom
MX13,254.0,-25.4,0.0,bottom
MX14,273.05,-25.4,0.0,bottom
MX15,292.1,-25.4,0.0,bottom
MX16,315.9125,-25.4,0.0,bottom
MX17,25.4,-44.45,0.0,bottom
MX18,44.45,-44.45,0.0,bottom
MX19,63.5,-44.45,0.0,bottom
MX2,44.45,-25.4,0.0,bottom
MX20,82.55,-44.45,0.0,bottom
MX21,101.6,-44.45,0.0,bottom
MX22,120.65,-44.45,0.0,bottom
MX23,139.7,-44.45,0.0,bottom
MX24,158.75,-44.45,0.0,bottom
MX25,177.8,-44.45,0.0,bottom
MX26,196.85,-44.45,0.0,bottom
MX27,215.9,-44.45,0.0,bottom
MX28,234.95,-44.45,0.0,bottom
MX29,254.0,-44.45,0.0,bottom
MX3,63.5,-25.4,0.0,bottom
MX30,273.05,-44.45,0.0,bottom
MX31,292.1,-44.45,0.0,bottom
MX32,315.9125,-49.2125,0.0,bottom
MX33,25.4,-63.5,0.0,bottom
MX34,44.45,-63.5,0.0,bottom
MX35,63.5,-63.5,0.0,bottom
MX36,82.55,-63.5,0.0,bottom
MX37,101.6,-63.5,0.0,bottom
MX38,120.65,-63.5,0.0,bottom
MX39,139.7,-63.5,0.0,bottom
MX4,82.55,-25.4,0.0,bottom
MX40,158.75,-63.5,0.0,bottom
MX41,177.8,-63.5,0.0,bottom
MX42,196.85,-63.5,0.0,bottom
MX43,215.9,-63.5,0.0,bottom
MX44,234.95,-63.5,0.0,bottom
MX45,254.0,-63.5,0.0,bottom
MX46,273.05,-63.5,0.0,bottom
MX47,292.1,-63.5,0.0,bottom
MX48,25.4,-82.55,0.0,bottom
MX49,44.45,-82.55,0.0,bottom
MX5,101.6,-25.4,0.0,bottom
MX50,63.5,-82.55,0.0,bottom
MX51,82.55,-82.55,0.0,bottom
MX52,101.6,-82.55,0.0,bottom
MX53,111.125,-82.55,180.0,bottom
MX54,120.65,-82.55,0.0,bottom
MX55,139.7,-82.55,0.0,bottom
MX56,158.75,-82.55,0.0,bottom
MX57,177.8,-82.55,0.0,bottom
MX58,196.85,-82.55,0.0,bottom
MX59,215.9,-82.55,0.0,bottom
MX6,120.65,-25.4,0.0,bottom
MX60,225.425,-82.55,180.0,bottom
MX61,234.95,-82.55,0.0,bottom
MX62,254.0,-82.55,0.0,bottom
MX63,273.05,-82.55,0.0,bottom
MX64,292.1,-82.55,0.0,bottom
MX65,311.15,-82.55,0.0,bottom
MX7,139.7,-25.4,0.0,bottom
MX8,158.75,-25.4,0.0,bottom
MX9,177.8,-25.4,0.0,bottom
R3,321.375512,-40.574184,180.0,bottom
R4,323.310276,-40.574184,180.0,bottom
R5,299.14428,-72.464384,270.0,bottom
R6,323.310276,-39.532388,180.0,bottom
R7,306.939196,-51.885112,270.0,bottom
R8,305.748572,-51.885112,270.0,bottom
R9,305.599744,-72.732489,135.0,bottom
RST1,292.1,-72.721032,0.0,bottom
SW1,315.9125,-25.65,0.0,top
SW2,315.9125,-49.4625,0.0,top
U1,282.575,-49.950348,180.0,bottom
U2,41.374184,-35.867548,180.0,bottom
U3,307.534508,-63.791352,90.0,bottom
U4,320.184888,-63.19604,0.0,bottom
Y1,307.980992,-73.476629,135.0,bottom
